"walk ","WEEK","GAME","TEAM 1 RANK","DIVISON","Away Team","TEAM 1 SCORE","Home Team","TEAM 2","DIVISON","TEAM 2 RANK","MOTW RANKING","GAME #","WINNER","OPPOSING TEAM","BLOWOUT","SCORE GAP","COMBINED SCORE","MOTW","TEAM WITH HIGHEST SCORE","UPSET","Week","","","","","","","","","","","","LOW SCORE GAP RANK","HIGH SCORE GAP RANK","LOW COMBINED SCORE RANK","HIGH COMBINED SCORE RANK","GAME QUALITY","BEST GAME QUALITY RANK","WORST GAME QUALITY RANK","","MOTW BEST GAME QUALITY RANK","MOTW RANKING","UPSET MOTW RANK","UPSET RANK","","","Top 5 Greatest 2025 MOTW Regular Season Games - PVE FFL","","","","","","","","","","","Rank","Team Name","Overall Wins","Overall Losses","Overall Win %","Division Name","Divisional Wins","Divisonal Losses","Divisional Win %","MOTW Wins","MOTW Losses","MOTW Win %","MOTW GAMES PLAY","MOTW RANK","UPSETS","","BLOWOUTS","AWAY Wins","AWAY Losses","Away Win %","HOME Wins","HOME Losses","HOME Win %","","Schedule Competivness","SOS L","SOS R",""
"11","WEEK 3","GAME 1","9","ESTEEMED","METAMOOKDAWGS","230.16","167.91","KINGS","PRODIGY","7","12.41","4","METAMOOKDAWGS","KINGS","YES","62.25","398.07","","","UPSET","3","1","0","","","","","","","","","","62","9","69","2","32.0","30","41","-","UPCOMING","38.00","12.41","15.00","","","2","9.50","2025","WEEK 4","GREEN","EAGLES","2025 REG, PVE FFL GAME 19","10.96","378.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","WEEK 3","GAME 2","1","ESTEEMED","MUTTS","185.71","196.22","POPEYES","PRODIGY","4","9.12","1","POPEYES","MUTTS","","10.51","381.93","MOTW","","UPSET","3","0","1","","","","","","","","","","8","63","66","5","6.5","1","70","6.5","1","15.00","9.12","25.00","","","3","12.50","2025","WEEK 14","EAGLES","METAMOOKDAWGS","2025 REG, PVE FFL GAME 70","11.88","359.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","WEEK 3","GAME 3","5","ESTEEMED","CHAMPS","232.94","96.07","DECOUPES","PRODIGY","2","10.12","2","CHAMPS","DECOUPES","YES","136.87","329.01","","","UPSET","3","1","0","","","","","","","","","","70","1","41","30","50.0","61","10","-","UPCOMING","21.00","10.12","23.00","","","4","14.50","2025","WEEK 10","POPEYES","YARDIES","2025 REG, PVE FFL GAME 47","24.14","380.12","MOTW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","WEEK 3","GAME 4","10","PRODIGY","GREEN","204.24","107.20","YARDIES","ESTEEMED","3","21.95","5","GREEN","YARDIES","YES","97.04","311.44","","","UPSET","3","1","0","","","","","","","","","","69","2","30","41","55.0","66","5","-","UPCOMING","67.00","21.95","3.00","","","5","15.50","2025","WEEK 5","GREEN","CHAMPS","2025 REG, PVE FFL GAME 25","2.30","332.02","MOTW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","WEEK 3","GAME 5","6","PRODIGY","SAVAGES","147.28","135.25","EAGLES","ESTEEMED","8","11.41","3","SAVAGES","EAGLES","","12.03","282.53","","","","3","1","0","","","","","","","","","","11","60","12","59","35.0","36","35","-","UPCOMING","26.00","NO UPSET","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","WEEK 4","GAME 1","9","PRODIGY","KINGS","157.59","191.20","MUTTS","ESTEEMED","2","20.95","5","MUTTS","KINGS","","33.61","348.79","","","","4","0","0","","","","","","","","","","33","38","53","18","25.5","17","54","-","UPCOMING","63.00","NO UPSET","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","WEEK 4","GAME 2","1","PRODIGY","POPEYES","219.36","159.16","CHAMPS","ESTEEMED","5","11.83","3","POPEYES","CHAMPS","YES","60.20","378.52","","","","4","1","1","","","","","","","","","","58","13","62","9","33.5","33","38","-","UPCOMING","33.00","NO UPSET","-","","","","","","Week","Winner","Opposing Team","Game Ref #","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","WEEK 4","GAME 3","4","ESTEEMED","YARDIES","169.98","137.07","DECOUPES","PRODIGY","3","5.71","1","YARDIES","DECOUPES","","32.91","307.05","MOTW","","UPSET","4","1","0","","","","","","","","","","31","40","26","45","38.0","42","29","38","11","4.00","5.71","29.00","","","1","0.20","2025","WEEK 10","MUTTS","SAVAGES","2025 REG, PVE FFL GAME 50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","WEEK 4","GAME 4","10","ESTEEMED","EAGLES","183.68","194.64","GREEN","PRODIGY","8","13.41","4","GREEN","EAGLES","","10.96","378.32","","","","4","0","0","","","","","","","","","","9","62","61","10","9.5","2","69","-","UPCOMING","44.00","NO UPSET","-","","","2","1.00","2025","WEEK 6","SAVAGES","METAMOOKDAWGS","2025 REG, PVE FFL GAME 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","WEEK 4","GAME 5","7","ESTEEMED","METAMOOKDAWGS","201.65","175.05","SAVAGES","PRODIGY","6","8.71","2","METAMOOKDAWGS","SAVAGES","","26.60","376.70","","","UPSET","4","1","0","","","","","","","","","","24","47","60","11","17.5","7","64","-","UPCOMING","13.00","8.71","26.00","","","3","2.30","2025","WEEK 5","GREEN","CHAMPS","2025 REG, PVE FFL GAME 25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
