"walk ","WEEK","GAME","TEAM 1 RANK","DIVISON","Away Team","TEAM 1 SCORE","Home Team","TEAM 2","DIVISON","TEAM 2 RANK","MOTW RANKING","GAME #","WINNER","OPPOSING TEAM","BLOWOUT","SCORE GAP","COMBINED SCORE","MOTW","TEAM WITH HIGHEST SCORE","UPSET","Week","","","","","","","","","","","","LOW SCORE GAP RANK","HIGH SCORE GAP RANK","LOW COMBINED SCORE RANK","HIGH COMBINED SCORE RANK","GAME QUALITY","BEST GAME QUALITY RANK","WORST GAME QUALITY RANK","","MOTW BEST GAME QUALITY RANK","MOTW RANKING","UPSET MOTW RANK","UPSET RANK","","","Top 5 Greatest 2025 MOTW Regular Season Games - PVE FFL","","","","","","","","","","","Rank","Team Name","Overall Wins","Overall Losses","Overall Win %","Division Name","Divisional Wins","Divisonal Losses","Divisional Win %","MOTW Wins","MOTW Losses","MOTW Win %","MOTW GAMES PLAY","MOTW RANK","UPSETS","","BLOWOUTS","AWAY Wins","AWAY Losses","Away Win %","HOME Wins","HOME Losses","HOME Win %","","Schedule Competivness","SOS L","SOS R",""
"52","WEEK 11","GAME 2","7","ESTEEMED","METAMOOKDAWGS","154.98","169.09","POPEYES","PRODIGY","4","12.12","3","POPEYES","METAMOOKDAWGS","","14.11","324.07","","","","11","0","1","","","","","","","","","","13","58","38","33","23.0","14","57","-","UPCOMING","36.00","NO UPSET","-","","","3","57.50","2025","WEEK 13","KINGS","POPEYES","2025 REG, PVE FFL GAME 61","41.87","246.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","WEEK 11","GAME 3","2","ESTEEMED","MUTTS","126.67","169.31","DECOUPES","PRODIGY","6","12.83","4","DECOUPES","MUTTS","YES","42.64","295.98","","","UPSET","11","0","0","","","","","","","","","","47","24","20","51","49.0","57","14","-","UPCOMING","41.00","12.83","14.00","","","4","56.50","2025","WEEK 8","EAGLES","POPEYES","2025 REG, PVE FFL GAME 40","54.64","283.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","WEEK 11","GAME 4","5","ESTEEMED","CHAMPS","118.22","164.25","GREEN","PRODIGY","1","11.83","2","GREEN","CHAMPS","YES","46.03","282.47","","","","11","0","0","","","","","","","","","","50","21","11","60","55.0","64","7","-","UPCOMING","35.00","NO UPSET","-","","","5","55.00","2025","WEEK 3","GREEN","YARDIES","2025 REG, PVE FFL GAME 14","97.04","311.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","WEEK 11","GAME 5","3","ESTEEMED","YARDIES","139.71","130.98","SAVAGES","PRODIGY","8","16.54","5","YARDIES","SAVAGES","","8.73","270.69","","","","11","1","0","","","","","","","","","","5","66","6","65","35.0","35","36","-","UPCOMING","51.00","NO UPSET","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","WEEK 12","GAME 1","10","PRODIGY","KINGS","181.23","132.31","SAVAGES","PRODIGY","9","11.71","2","KINGS","SAVAGES","YES","48.92","313.54","","","UPSET","12","1","0","","","","","","","","","","52","19","34","37","44.5","52","19","-","UPCOMING","31.00","11.71","21.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","WEEK 12","GAME 2","1","PRODIGY","GREEN","189.22","155.64","POPEYES","PRODIGY","3","6.41","1","GREEN","POPEYES","","33.58","344.86","","","","12","1","0","","","","","","","","","","32","39","51","20","26.0","19","52","-","UPCOMING","5.00","NO UPSET","-","","","","","","Week","Winner","Opposing Team","Game Ref #","","","GAME VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","WEEK 12","GAME 3","5","PRODIGY","DECOUPES","247.45","175.06","METAMOOKDAWGS","ESTEEMED","8","13.12","5","DECOUPES","METAMOOKDAWGS","YES","72.39","422.51","","","","12","1","0","","","","","","","","","","66","5","70","1","33.5","34","37","-","UPCOMING","43.00","NO UPSET","-","","","1","3.71","2025","WEEK 2","MUTTS","CHAMPS","2025 REG, PVE FFL GAME 7","1.00","2.00","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","WEEK 12","GAME 4","6","ESTEEMED","CHAMPS","152.31","169.10","YARDIES","ESTEEMED","2","12.83","4","YARDIES","CHAMPS","","16.79","321.41","MOTW","","","12","0","0","","","","","","","","","","15","56","36","35","25.0","15","56","25","7","40.00","NO UPSET","-","","","2","3.71","2025","WEEK 1","POPEYES","SAVAGES","2025 REG, PVE FFL GAME 5","2.00","1.00","53.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","WEEK 12","GAME 5","7","ESTEEMED","EAGLES","122.72","157.19","MUTTS","ESTEEMED","4","12.12","3","MUTTS","EAGLES","","34.47","279.91","","","","12","0","0","","","","","","","","","","35","36","10","61","48.0","56","15","-","UPCOMING","37.00","NO UPSET","-","","","3","4.71","2025","WEEK 6","MUTTS","YARDIES","2025 REG, PVE FFL GAME 27","2.00","3.00","44.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","WEEK 13","GAME 1","5","PRODIGY","POPEYES","102.49","144.36","KINGS","PRODIGY","7","10.41","2","KINGS","POPEYES","YES","41.87","246.85","","","UPSET","13","0","0","","","","","","","","","","45","26","1","70","57.5","68","3","-","UPCOMING","23.00","10.41","22.00","","","4","5.71","2025","WEEK 4","YARDIES","DECOUPES","2025 REG, PVE FFL GAME 18","4.00","3.00","38.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","WEEK 13","GAME 2","10","PRODIGY","SAVAGES","125.37","209.92","DECOUPES","PRODIGY","4","20.24","4","DECOUPES","SAVAGES","YES","84.55","335.29","","","","13","0","0","","","","","","","","","","68","3","45","26","47.0","55","16","-","UPCOMING","62.00","NO UPSET","-","","","5","6.41","2025","WEEK 12","GREEN","POPEYES","2025 REG, PVE FFL GAME 57","1.00","3.00","26.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","WEEK 13","GAME 3","3","ESTEEMED","MUTTS","140.08","202.79","GREEN","PRODIGY","1","6.41","1","GREEN","MUTTS","YES","62.71","342.87","","","","13","0","0","","","","","","","","","","63","8","47","24","43.5","49","22","-","UPCOMING","6.00","NO UPSET","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","WEEK 13","GAME 4","2","ESTEEMED","YARDIES","126.53","160.82","EAGLES","ESTEEMED","9","20.95","5","EAGLES","YARDIES","","34.29","287.35","","","UPSET","13","0","0","","","","","","","","","","34","37","15","56","45.0","53","18","-","UPCOMING","65.00","20.95","5.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","WEEK 13","GAME 5","8","ESTEEMED","METAMOOKDAWGS","128.36","137.66","CHAMPS","ESTEEMED","6","11.41","3","CHAMPS","METAMOOKDAWGS","","9.30","266.02","MOTW","","","13","0","0","","","","","","","","","","7","64","5","66","36.5","39","32","36.5","10","27.00","NO UPSET","-","","","","","","Week","Winner","Opposing Team","Game Ref #","","","GAME VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","WEEK 14","GAME 1","1","PRODIGY","GREEN","156.79","98.07","KINGS","PRODIGY","7","17.24","5","GREEN","KINGS","YES","58.72","254.86","","","","14","1","0","","","","","","","","","","57","14","3","68","62.5","70","1","-","UPCOMING","56.00","NO UPSET","-","","","1","25.36","2025","WEEK 8","METAMOOKDAWGS","MUTTS","2025 REG, PVE FFL GAME 39","10.00","1.00","44.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","WEEK 14","GAME 2","5","PRODIGY","POPEYES","153.61","189.27","DECOUPES","PRODIGY","3","8.41","2","DECOUPES","POPEYES","","35.66","342.88","","","","14","0","0","","","","","","","","","","37","34","48","23","30.0","25","46","-","UPCOMING","12.00","NO UPSET","-","","","2","21.95","2025","WEEK 7","EAGLES","YARDIES","2025 REG, PVE FFL GAME 31","10.00","3.00","37.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","WEEK 14","GAME 3","6","ESTEEMED","CHAMPS","146.33","153.25","SAVAGES","PRODIGY","10","16.83","4","SAVAGES","CHAMPS","","6.92","299.58","","","UPSET","14","0","0","","","","","","","","","","4","67","22","49","26.5","21","50","-","UPCOMING","53.00","16.83","10.00","","","3","21.95","2025","WEEK 3","GREEN","YARDIES","2025 REG, PVE FFL GAME 14","10.00","3.00","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","WEEK 14","GAME 4","2","ESTEEMED","YARDIES","175.94","158.96","MUTTS","ESTEEMED","4","7.41","1","YARDIES","MUTTS","","16.98","334.90","MOTW","","","14","1","0","","","","","","","","","","16","55","44","27","21.5","11","60","21.5","6","10.00","NO UPSET","-","","","4","20.95","2025","WEEK 7","KINGS","POPEYES","2025 REG, PVE FFL GAME 33","9.00","2.00","33.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","WEEK 14","GAME 5","9","ESTEEMED","METAMOOKDAWGS","173.80","185.68","EAGLES","ESTEEMED","8","10.71","3","EAGLES","METAMOOKDAWGS","","11.88","359.48","","","","14","0","0","","","","","","","","","","10","61","56","15","12.5","3","68","-","UPCOMING","","NO UPSET","-","","","5","20.95","2025","WEEK 13","EAGLES","YARDIES","2025 REG, PVE FFL GAME 64","2.00","9.00","45.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
