"OVERALL STATS","","","","","","","","","","","","","","","","","","","","","","","","","","","","TYPE","Position","Stat Type","Row","Place","Team","Points","","RANK","TEAM","POINTS","POSITION","ACHIEVEMENT","DIV/LEAGUE","BONUS"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","3","1","-","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","1","2","MUTTS","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","2","2","-","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","3","2","-","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","1","3","CHAMPS","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","2","3","-","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","TOTAL SCORE","HIGHEST SCORE","3","3","-","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","1","1","GREEN","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","2","1","-","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","3","1","-","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","1","2","YARDIES","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","2","2","-","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","3","2","-","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","1","3","SAVAGES","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","2","3","KINGS","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","ALL STARS ","MOST","3","3","METAMOOKDAWGS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","1","1","DECOUPES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","1","2","POPEYES","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","2","2","GREEN","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","3","2","CHAMPS","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","1","3","-","0.25","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","2","3","-","0.25","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST TRADES","MOST","3","3","-","0.25","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","1","1","DECOUPES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","1","2","POPEYES","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","2","2","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","3","2","-","0.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","1","3","YARDIES","0.25","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","2","3","-","0.25","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","WAIVER WIRE","MOST","3","3","-","0.25","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","1","1","YARDIES","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","2","1","-","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","3","1","-","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","1","2","GREEN","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","2","2","-","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","3","2","-","3","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","1","3","POPEYES","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","2","3","-","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOTW RECORD","BEST","3","3","-","1.5","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","1","1","GREEN","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","2","1","KINGS","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","3","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","4","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","5","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","6","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","7","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","8","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","9","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","10","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","1","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","2","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","3","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","4","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","5","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","6","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","7","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","8","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","9","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","10","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","1","3","DECOUPES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","2","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","3","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","4","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","5","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","6","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","7","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","8","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","9","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST BLOWOUTS","MOST","10","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","1","1","KINGS","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","2","1","EAGLES","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","3","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","4","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","5","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","6","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","7","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","8","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","9","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","10","1","-","4","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","1","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","2","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","3","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","4","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","5","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","6","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","7","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","8","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","9","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","10","2","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","1","3","DECOUPES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","2","3","METAMOOKDAWGS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","3","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","4","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","5","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","6","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","7","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","8","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","9","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACHIEVEMENT","MOST UPSETS","MOST","10","3","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","1","1","GREEN","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","4","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","5","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","6","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","7","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","8","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","9","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD","BEST","10","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - P","BEST","1","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - P","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - P","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - P","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - P","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - E","BEST","1","1","YARDIES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - E","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - E","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - E","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST OVERALL RECORD - E","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","1","1","GREEN","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","4","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","5","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","6","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","7","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","8","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","9","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD","BEST","10","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - P","BEST","1","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - P","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - P","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - P","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - P","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - E","BEST","1","1","YARDIES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - E","BEST","2","1","MUTTS","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - E","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - E","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST DIVISIONAL RECORD - E","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","1","1","GREEN","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","2","1","YARDIES","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","4","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","5","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","6","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","7","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","8","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","9","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS","BEST","10","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - P","BEST","1","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - P","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - P","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - P","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - P","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - E","BEST","1","1","YARDIES","1","","","2ND","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - E","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - E","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - E","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","MOST DIV/ CROSS-DIV SWEEPS - E","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","1","1","GREEN","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","2","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","3","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","4","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","5","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","6","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","7","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","8","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","9","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD","BEST","10","1","-","2","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - P","BEST","1","1","GREEN","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - P","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - P","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - P","BEST","4","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - P","BEST","5","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - E","BEST","1","1","YARDIES","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - E","BEST","2","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - E","BEST","3","1","-","1","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIV/LEAGUE","BEST CROSS- DIVISIONAL RECORD - E","BEST","4","1","-","1","","","","","","","",""
