"OVERALL STATS","","","","","","","","","","","","","","","","","","","","","","","","","","","","TYPE","Position","Stat Type","Row","Place","Team","Points","","RANK","TEAM","POINTS","POSITION","ACHIEVEMENT","DIV/LEAGUE","BONUS"
"OVERALL STATS","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","RB","AVERAGE","3","2","-","2.5","","10","POPEYES","9.75","","","",""
"Categories","","","","","","","","","","","","","","","","","","","","","","","","","","","","POSITION","RB","AVERAGE","1","3","CHAMPS","1.25","","","","","","","",""
"QB","Average","2","8","4","9","3","6","5","10","7","1","","","","","","","","","","","","","","","","","POSITION","RB","AVERAGE","2","3","-","1.25","","","","","","","",""
"QB","Highest Score","9","5","2","10","3","6","7","4","8","1","","","","","","","","","","","","","","","","","POSITION","RB","AVERAGE","3","3","-","1.25","","","","","","","",""
"RB","Average","4","5","1","9","2","3","7","8","6","10","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","1","1","DECOUPES","3","","","","","","","",""
"RB","Highest Score","1","3","2","10","4","7","6","8","5","9","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","2","1","-","3","","","","","","","",""
"WR","Average","6","4","7","1","10","5","2","8","3","9","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","3","1","-","3","","","","","","","",""
"WR","Highest Score","8","5","6","2","10","9","4","7","1","3","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","1","2","GREEN","1.5","","","","","","","",""
"TE","Average","4","8","6","1","7","9","10","2","3","5","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","2","2","-","1.5","","","","","","","",""
"TE","Highest Score","2","6","9","3","4","10","5","1","8","7","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","3","2","-","1.5","","","","","","","",""
"FLEX","Average","8","9","1","7","10","5","6","3","4","2","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","1","3","POPEYES","0.75","","","","","","","",""
"FLEX","Highest Score","9","7","3","8","10","4","6","1","5","2","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","2","3","-","0.75","","","","","","","",""
"D/ST","Average","5","3","9","6","7","4","10","2","8","1","","","","","","","","","","","","","","","","","POSITION","RB","HIGHEST SCORE","3","3","-","0.75","","","","","","","",""
"D/ST","Highest Score","10","2","7","4","3","1","5","8","9","6","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","1","1","SAVAGES","6","","","","","","","",""
"K","Average","7","8","4","10","3","5","2","6","1","9","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","2","1","-","6","","","","","","","",""
"K","Highest Score","8","9","6","9","4","4","2","2","1","6","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","3","1","-","6","","","","","","","",""
"HC","Average","2","7","1","10","8","5","9","4","3","6","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","1","2","METAMOOKDAWGS","3","","","","","","","",""
"HC","Highest Score","6","3","2","9","4","9","8","1","4","7","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","2","2","-","3","","","","","","","",""
"MVP","Highest Score","1","6","2","9","7","3","10","5","8","4","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","3","2","-","3","","","","","","","",""
"TOTAL SCORE","Average","3","6","1","10","9","2","5","7","4","8","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","1","3","MUTTS","1.5","","","","","","","",""
"TOTAL SCORE","Highest Score","1","5","6","10","8","3","4","9","2","7","","","","","","","","","","","","","","","","","POSITION","WR","AVERAGE","2","3","-","1.5","","","","","","","",""
