 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECOUPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,,Week 6,,Week 7,,Week 8,,Week 9,,Week 10,,Week 11,,Week 12,,Week 13,,Week 14,,Finale,
Team Rank,1,,4,,4,,1,,1,,1,,2,,3,,4,,4,,4,,3,,5,,5,,,
QB,B. MAYFIELD,29.48,B. MAYFIELD,26.6,B. MAYFIELD,21.92,M. STAFFORD,38.2,M. STAFFORD,35.26,M. STAFFORD,13.34,B. MAYFIELD,13.52,B. MAYFIELD,5.28,S. DARNOLD,39,B. MAYFIELD,31.52,B. MAYFIELD,19.32,S. DARNOLD,22.96,S. DARNOLD,3.52,B. MAYFIELD,12.48,,
RB,D. ACHANE,17.2,D. ACHANE,27.3,D. ACHANE,17.3,D. ACHANE,19.1,D. ACHANE,17.6,D. ACHANE,33.6,D. ACHANE,14.1,D. ACHANE,21.9,D. ACHANE,18,D. ACHANE,43.7,D. ACHANE,24.6,K. WALKER,14.2,D. ACHANE,22.6,D. ACHANE,18.2,,
RB,T. HENDERSON,13.75,T. HENDERSON,6.3,K. WALKER III,19.6,J. MASON,11.8,J. MASON,13.9,T. HENDERSON,5.5,J. MASON,13.2,J. MASON,2,B. KNIGHT,7.6,T. HENDERSON,30.4,T. HENDERSON,34.2,T. HENDERSON,12.9,T. HENDERSON,12.7,K. WALKER,4.8,,
RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,J. JEFFERSON,14.9,J. JEFFERSON,11.1,J. JEFFERSON,12.5,J. JEFFERSON,23.6,J. JEFFERSON,20.3,P. NACUA,4.8,J. JEFFERSON,12.9,J. JEFFERSON,14.4,J. JEFFERSON,16.7,J. JEFFERSON,7.7,J. JEFFERSON,11.1,J. JEFFERSON,8.8,J. JEFFERSON,2.4,J. JEFFERSON,3.1,,
WR,P. NACUA,24.2,P. NACUA,27.7,P. NACUA,23.9,P. NACUA,37,P. NACUA,24.5,E. EGBUKA,4.4,B. THOMAS JR.,6.1,E. EGBUKA,6.5,P. NACUA,22.9,P. NACUA,17.4,P. NACUA,14.5,P. NACUA,16.7,P. NACUA,13.2,P. NACUA,36.7,,
WR,B. THOMAS JR,9.1,B. THOMAS JR,8.9,B. THOMAS JR,7.5,E. EGBUKA,21.2,E. EGBUKA,32.3,D. SMITH,8.9,D. SMITH,34.3,D. SMITH,14.4,B. THOMAS,8.5,E. EGBUKA,24.5,E. EGBUKA,9,E. EGBUKA,6.2,E. EGBUKA,8.2,E. EGBUKA,3.5,,
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,T. HOCKENSON,4.5,T. HOCKENSON,2.2,K. PITTS SR,7.9,T. HOCKENSON,7.9,T. HOCKENSON,9.8,D. WALLER,9.2,K. PITTS SR.,13.2,K. PITTS SR.,14.9,K. PITTS,7.8,K. PITTS,5.8,D. SCHULTZ,11.1,K. PITTS,4.5,K. PITTS,15.2,H. FANNIN,26.4,,
FLEX,K. WALKER III,6.4,E. EGBUKA,12.9,J. MASON,26.2,K. WALKER III,13.9,K. WALKER III,10.6,K. WALKER III,5.7,K. WALKER III,8.3,T.J. HOCKENSON,4.6,K. WALKER,9.2,D. SMITH,16.9,D. SMITH,1.8,D. SMITH,14.9,D. SMITH,9.8,D. NEAL,17.3,,
D/ST,NE D/ST,15.83,IND D/ST,7.32,IND D/ST,27.2,NE D/ST,28.76,IND D/ST,26.7,IND D/ST,8.75,NE D/ST,27,IND D/ST,16.74,JAX D/ST,12.07,BUF D/ST,6.21,DAL D/ST,23.67,CLE D/ST,39.18,IND D/ST,11.37,CLE D/ST,10.93,,
K,T. LOOP,14,T. LOOP,12,T. LOOP,7,T. LOOP,9,T. LOOP,3,J. ELLIOTT,6,J. ELLIOTT,2.5,T. LOOP,13,T. LOOP,4,T. LOOP,13,T. LOOP,12,T. LOOP,11,T. LOOP,2,T. LOOP,10,,
