"10","DECOUPES","FLEX","S. DIGGS","11.70","WEEK 1","","1","D/ST","D/ST","DEN D/ST","31.86","EAGLES","SEA D/ST","30.05","METAMOOKDAWGS","MIN D/ST","54.64","CHAMPS","DET D/ST","36.13","SAVAGES","IND D/ST","26.70","POPEYES","DEN D/ST","33.08","EAGLES","CAR D/ST","29.05","CHAMPS","KC D/ST","20.34","DECOUPES","DET D/ST","23.70","SAVAGES","SEA D/ST","30.35","METAMOOKDAWGS","BAL D/ST","24.83","CHAMPS","CLE D/ST","39.18","POPEYES","NE D/ST","29.87","GREEN","PHI D/ST","37.27","KINGS","","8","EAGLES","13","7","0","13","","WR","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"11","DECOUPES","D/ST","LAR D/ST","21.68","WEEK 1","","1","K","K","C. BOSWELL","19.00","YARDIES","B. AUBREY","27.00","MUTTS","C. MCLAUGHLIN","23.00","METAMOOKDAWGS","C. MCLAUGHLIN","21.00","METAMOOKDAWGS","C. MCLAUGHLIN","12.00","METAMOOKDAWGS","C. DICKER","17.00","CHAMPS","B. AUBREY","21.00","MUTTS","C. BOSWELL","23.00","YARDIES","K. FAIRBAIRN","17.00","DECOUPES","J. MYERS","15.00","KINGS","W. LUTZ","19.00","EAGLES","A. BORREGALES","19.00","GREEN","J. MYERS","21.00","KINGS","B. AUBREY","29.00","MUTTS","","3","KINGS","16","8","0","16","","TE","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"12","DECOUPES","K","J. ELLIOTT","9.00","WEEK 1","","1","HC","HC","WSH HC","12.30","KINGS","DET HC","27.60","YARDIES","SEA HC","25.20","POPEYES","DEN HC","20.40","METAMOOKDAWGS","IND HC","24.00","KINGS","KC HC","13.00","EAGLES","LAR HC","22.50","GREEN","BUF HC","24.00","MUTTS","LAR HC","18.20","GREEN","SEA HC","21.20","DECOUPES","PIT HC","18.20","CHAMPS","LAR HC","22.20","GREEN","SEA HC","19.80","DECOUPES","LAR HC","25.50","GREEN","","","","","","","","","TE","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"13","DECOUPES","HC","PHI HC","9.20","WEEK 1","","","","TOTAL","","288.42","","","344.25","","","339.08","","","321.03","","","317.66","","","325.16","","","359.81","","","316.15","","","326.58","","","323.45","","","325.11","","","350.49","","","306.91","","","345.01","","","1","GREEN","23","1","","","","TE","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"14","DECOUPES","QB","J. DANIELS","25.60","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","YARDIES","17","2","","","","FLEX","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"15","DECOUPES","RB","C. BROWN","10.10","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","KINGS","16","8","","","","FLEX","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"16","DECOUPES","RB","B. IRVING","19.80","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","SAVAGES","16","9","","","","FLEX","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"17","DECOUPES","RB","","","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","METAMOOKDAWGS","16","10","","","","D/ST","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"18","DECOUPES","WR","C. LAMB","21.20","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","MUTTS","15","4","","","","D/ST","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"19","DECOUPES","WR","J. MEYERS","12.80","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","POPEYES","15","5","","","","D/ST","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"20","DECOUPES","WR","T. MCLAURIN","9.80","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","CHAMPS","13","6","","","","K","1","1st place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"21","DECOUPES","WR","","","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","EAGLES","13","7","","","","K","2","2nd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
"22","DECOUPES","TE","T. KELCE","10.10","WEEK 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","DECOUPES","11","3","","","","K","3","3rd place","#NAME?","#NAME?","#NAME?","#NAME?","#NAME?"
