"Full Name","Acronym","Division","Team Color","","List of Divisions","","Full Schedule","","Away ","Home ","","","","","Number of  Teams","","YEAR","","","","","","","","","","","","","","","","","","","","","","P1","P2","P3","P4","P5","E1","E2","E3","E4","E5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 4","GAME 4","EAGLES","GREEN","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","7","7","","","","","","","","","E2","P4","EAGLES","GREEN","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 4","GAME 5","METAMOOKDAWGS","SAVAGES","","","","","","","","","","","","","","","","","E1","E4","E3","E2","P3","P1","P2","P5","P4","E5","","","","","7","7","","","","","","","","","E4","P5","METAMOOKDAWGS","SAVAGES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 5","GAME 1","YARDIES","METAMOOKDAWGS","","","","","","","","","","","","","","","","","WEEK 6","","","","","","","","","","","","","","7","7","","","","","","","","WEEK 5","E1","E4","YARDIES","METAMOOKDAWGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 5","GAME 2","MUTTS","EAGLES","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","7","7","","","","","","","","","E3","E2","MUTTS","EAGLES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 5","GAME 3","DECOUPES","KINGS","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","7","7","","","","","","","","","P3","P1","DECOUPES","KINGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 5","GAME 4","POPEYES","SAVAGES","","","","","","","","","","","","","","","","","E5","E2","E3","E1","P3","P2","P1","P4","P5","E4","","","","","7","7","","","","","","","","","P2","P5","POPEYES","SAVAGES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 5","GAME 5","GREEN","CHAMPS","","","","","","","","","","","","","","","","","WEEK 7","","","","","","","","","","","","","","7","7","","","","","","","","","P4","E5","GREEN","CHAMPS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 6","GAME 1","CHAMPS","EAGLES","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","WEEK 6","E5","E2","CHAMPS","EAGLES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 6","GAME 2","MUTTS","YARDIES","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","E3","E1","MUTTS","YARDIES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 6","GAME 3","DECOUPES","POPEYES","","","","","","","","","","","","","","","","","E2","E1","E5","E4","P1","P2","P3","E3","P5","P4","","","","","","","","","","","","","","","P3","P2","DECOUPES","POPEYES","","","","","","","","","","","","","","","","",""
